TYPE,ISTITLE,TOPIC
1,1,Positives of Advertising
1,0,Advertising is a key part of modern business.
1,0,Companies need to tell customers about their products. 
1,0,Advertisements inform us about the choices we have. 
1,0,Advertising is a creative industry that employs many people.
1,0,Advertising is a form of modern art.
1,1,Negatives of Advertising
1,0,Advertising manipulates people. 
1,0,It aims to persuade people that buying a product will make them happier. 
1,0,Advertisers focus on selling a brand image. 
1,0,"They use glamorous, successful people. We now live in a consumer culture. "
1,0,We are persuaded to follow the latest trends. 
1,0,We are encouraged to associate certain brands with a higher status. 
1,0,Advertisers often aim their marketing at children. 
1,0,Children can easily be influenced by advertisements. 
1,0,Children put pressure on parents to buy them things.
1,1,Opinions about Advertising
1,0,Advertising should be regulated. 
1,0,Advertising aimed at children should be controlled or even banned. 
1,0,Unhealthy foods should not be marketed in a way that attracts children. 
1,0,Products that can be a risk to health should display warnings. 
1,0,In some countries it is illegal to advertise cigarettes on television
1,0,Warnings must be displayed on cigarette packets. 
1,0,"However, advertising is necessary in free market economies. "
1,0,It creates demand for products. 
1,0,Governments should only censor false information or products that are harmful.
2,1,Arguments for Animal Testing
2,0,Animals are used in important scientific research. 
2,0,It is necessary to do medical tests on new drugs. 
2,0,Animal testing helps to advance medical and scientific knowledge. 
2,0,Many important medical discoveries involved experimentation on animals. 
2,0,Researchers aim to minimise the suffering that animals experience. 
2,0,Testing for the cosmetics industry is now banned in many countries.
2,1,Arguments against Animal Testing
2,0,The benefits of research using animals do not justify the suffering caused. 
2,0,There are alternative methods of research. 
2,0,The lives of animals should be respected. 
2,0,Humans have no moral right to do experiments on animals.
2,1,Arguments for Vegetarianism
2,0,Vegetarians do not eat foods that are produced by killing animals. 
2,0,Many people choose a vegetarian diet for moral or health reasons. 
2,0,A healthy diet is possible without eating meat. It is unnecessary to kill animals for food. 
2,0,A vegetarian diet may reduce the risk of diseases like cancer. 
2,0,Many people question the treatment of animals in factory farms.
2,1,Arguments against Vegetarianism
2,0,Vegetarians do not eat a balanced diet. 
2,0,"In many cultures, meat is the main ingredient in traditional meals. "
2,0,Meat-eaters argue that animals are below humans in the food chain. 
2,0,It is completely natural for us to kill them for food. 
2,0,Our aim should be to improve farming methods. 
2,0,Farms should produce organic food.
2,1,Positives of Zoos
2,0,Zoos play an important role in wildlife conservation. 
2,0,They can help to protect endangered species. 
2,0,Zoos allow scientists to study animals and their behaviour. 
2,0,"Zoos are educational, interesting and fun. Children, in particular, enjoy learning about animals. "
2,0,Zoos provide job opportunities.
2,1,Negatives of Zoos
2,0,Zoo animals are kept in artificial environments. 
2,0,They are kept in cages or have limited space. Zoo animals rely on humans. 
2,0,They lose the freedom to hunt for food. 
2,0,The best way to save endangered species is by protecting natural habitats. 
2,0,Some people believe that zoos are unethical. 
2,0,Zoos exhibit animals with the aim of making money. 
2,0,We have no right to use animals for entertainment and profit.
3,1,Reasons for Urbanisation
3,0,People move to cities in search of job opportunities. 
3,0,Cities offer greater employment possibilities and a higher standard of living. 
3,0,People migrate to cities from the countryside. 
3,0,Traditional activities like farming need fewer workers nowadays.
3,1,Negatives of City Life
3,0,Life in cities has its drawbacks. 
3,0,The cost of living is higher than in rural areas. 
3,0,Some people do not manage to find work. Housing is usually much more expensive. 
3,0,Homelessness and poverty are common in cities. 
3,0,There is a gap between the rich and poor. 
3,0,Life in cities can be extremely stressful. 
3,0,There are problems like traffic congestion and crime. 
3,0,Cities lack a sense of community. People do not even know their neighbours. 
3,0,Cities are sometimes described as “concrete jungles”.
3,1,Pedestrian Areas
3,0,Pedestrian zones in city centres can improve the local environment. 
3,0,Banning cars encourages people to walk or cycle. 
3,0,Many European cities have built bicycle lanes. 
3,0,Dependence on cars is linked to health problems like obesity. 
3,0,People who walk or cycle regularly are generally healthier. 
3,0,Pedestrian areas are safer and more attractive for both residents and tourists
4,1,Police and Crime Prevention
4,0,The job of the police is to catch criminals. 
4,0,They must also prevent crime and make communities safer. 
4,0,There should be an increase in the number of police officers on the streets. 
4,0,Police officers should be seen as part of the community. 
4,0,They should be involved with education and prevention. 
4,0,The police should be in close contact with schools. 
4,0,They should focus on young people who have dropped out of school. 
4,0,These teenagers may become involved with gangs.
4,1,Punishments / Prisons
4,0,Fines are used as punishment for minor crimes. 
4,0,"If the crime is more serious, prison is the most common punishment. "
4,0,Some criminals pose a threat to society. 
4,0,They are put in prison to ensure the safety of other citizens.
4,1,Negatives of Prisons
4,0,Criminals are put together. 
4,0,They make friends with other offenders. 
4,0,Many prisoners re-offend when they are released.
4,0,A criminal record makes finding a job more difficult.
4,1,Rehabilitation
4,0,Another aim of prisons is rehabilitation.
4,0,Prisoners receive education or vocational training. 
4,0,Prisoners should learn personal skills and specific job skills. 
4,0,Punishment could make prisoners’ behaviour worse. 
4,0,Rehabilitation aims to make them better citizens. 
4,0,Rehabilitated prisoners are less likely to re-offend.
4,1,Capital Punishment
4,0,Supporters say that capital punishment deters crime. 
4,0,Fear of the death penalty stops people from committing offences. 
4,0,The death penalty shows that crime is not tolerated. 
4,0,It is a form of revenge. 
4,0,The cost of imprisonment is avoided. 
4,0,The offender cannot pose a threat to others.
4,1,Against Capital Punishment
4,0,Innocent people could be wrongly convicted and executed. 
4,0,Crime rates are not necessarily reduced. 
4,0,Many criminals do not think they will be caught. 
4,0,Capital punishment is not a good deterrent.
4,0, Executing prisoners creates a violent culture and encourages revenge. 
4,0,We have no right to take another human life.
4,1,Community Service
4,0,Community service is a way to reform offenders. 
4,0,It could be a solution to prison overcrowding. 
4,0,It avoids the cost of imprisonment. 
4,0,It makes offenders useful in their local communities. 
4,0,They are required to clean streets or talk to school groups. 
4,0,Offenders repay their community. 
4,0,They avoid the negative influence that prison can have.
4,1,Against Community Service
4,0,Community service is not a sufficient punishment. 
4,0,"Criminals should be locked up, away from their victims."
4,1,Crime in the Media
4,0,Crime is one of the main subjects of most news programmes. 
4,0,The mass media focus on violent and sensational crimes. 
4,0,This leads to fear of crime among the public. 
4,0,Sensational stories attract more viewers or readers. 
4,0,The media report crime stories in order to increase their audience.
5,1,Benefits of Education
5,0,Education gives people knowledge and skills. 
5,0,People with qualifications are more likely to find work. 
5,0,They can earn a higher salary. 
5,0,They can contribute positively to society. 
5,0,Schools aim to teach young people moral values such as tolerance and sharing. 
5,0,Schools prepare children to be members of a society.
5,1,Benefits of Studying Abroad
5,0,Foreign institutions may offer better courses. 
5,0,Many students want to attend a prestigious university. 
5,0,The best universities employ teachers who are experts in their fields. 
5,0,Qualifications gained abroad can open the door to better job opportunities. 
5,0,Living abroad can broaden students’ horizons. 
5,0,Overseas students are exposed to different cultures and customs. 
5,0,They become more independent. 
5,0,"They are responsible for cooking, cleaning and paying bills. "
5,0,They will learn a foreign language.
5,1,Drawbacks of Studying Abroad
5,0,Living and studying abroad can be difficult. 
5,0,Students have problems with paperwork such as visa applications 
5,1,Education in Developing Countries: Problems
5,0,Children often have to work from an early age. 
5,0,There are no schools in many areas. 
5,0,Families do not have access to books or computers. 
5,0,Literacy rates are often low. 
5,0,People in developing countries need knowledge and skills. 
5,0,Education is the key to improving the economy of these countries.
5,1,Education in Developing Countries: Solutions
5,0,Developed countries could help developing nations by providing money.  
5,0,They could invest in schools and technology. 
5,0,They could supply the funds to build schools and pay for teachers. 
